,AUROC,AUPR,FPR@95
MSP,0.8189136082513829,0.892777351311084,0.4944
MaxLogit,0.820560416026429,0.8928095009985347,0.4832
Energy,0.8162403311309159,0.8871789459057823,0.4778
Mahalanobis,0.81903676244622,0.890681004179811,0.5268
ViM,0.9101816763982791,0.9545531789281462,0.3652
